,,,,,,,,
"Кол-во 

тарифицируемых 

хозяйственных  

операция (ХО)","Кол-во 

сотруд 

ников",ЕНВД,"УСН 

(доходы)","УСН 

(доходы- 

расходы)",ОСН,"ИП без сотрудников УСН 6%/ 

ЕНВД(квартал)",ИП без сотрудников УСН 15%,"ИП без сотрудников  

ЕНВД (Ква- 

Ртал)"
от 0 до 5,1,2 600,2 400,2 700,3 000,1 500,1 800,1 500
от 6 до 10,1,5 200,3 900,4 500,4 900,2 500,3 000,2 500
от 11 до 15,1,6 200,5 700,6 500,7 200,3 600,4 400,3 600
от 16 до 20,1,8 000,7 500,8 500,9 400,4 700,5 700,4 700
от 21 до 25,1,9 800,9 200,10 400,11 500,5 800,6 900,5 800
от 26 до 30,1,11 500,10 800,12 200,13 500,6 800,8 100,6 800
от 31 до 35,1,12 700,11 900,13 500,14 900,7 500,9 000,7 500
от 36 до 40,1,13 600,12 800,14 400,16 000,8 000,9 600,8 000
от 41 до 45,1,14 400,13 500,15 300,16 900,8 500,10 200,8 500
от 46 до 50,1,14 900,14 000,15 800,17 500,8 800,10 500,8 800
от 51 до 55,1,15 500,14 500,16 400,18 200,9 100,11 000,9 100
от 56 до 60,1,16 400,15 300,17 300,19 200,9 600,11 600,9 600
от 61 до 65,1,17 200,16 100,18 200,20 200,10 100,12 200,10 100
от 66 до 70,1,17 900,16 800,18 900,21 000,10 500,12 600,10 500
от 71 до 75,1,18 600,17 400,19 700,21 800,10 900,13 100,10 900
от 76 до 80,1,19 100,17 900,20 200,22 400,11 200,13 500,11 200
от 81 до 85,1,19 600,18 400,20 700,23 000,11 500,13 800,11 500
от 86 до 90,1,20 750,19 450,21 900,24 300,12 150,14 600,12 150
от 90 до 95,1,21 900,20 500,23 100,25 700,12 850,15 400,12 850
от 96 до 100,1,23 000,21 600,24 300,27 000,13 500,16 200,13 500
от 101 и выше,1,"230 

руб/шт","216  

руб/шт","243  

руб/шт","270 

руб/шт","135  

руб/шт","162  

руб/шт","135  

руб/шт"
